word,mean,frequence,std,scores
mm,0.5,383,0.5,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]"
suppose,0.3,383,0.640312424,"[0, 1, 0, 1, -1, 0, 1, 1, 0, 0]"
golden,2.9,376,0.3,"[3, 3, 3, 2, 3, 3, 3, 3, 3, 3]"
knowing,1.5,375,0.5,"[2, 2, 2, 2, 1, 1, 1, 1, 1, 2]"
idiots,-2.6,373,0.663324958,"[-3, -3, -2, -3, -2, -2, -2, -4, -3, -2]"
rank,1.8,369,0.4,"[2, 2, 2, 2, 2, 1, 2, 1, 2, 2]"
learned,0.9,364,0.7,"[0, 0, 1, 1, 1, 2, 2, 1, 0, 1]"
decreasing,-2.7,361,0.458257569,"[-3, -3, -2, -3, -3, -3, -3, -3, -2, -2]"
press,1.1,360,0.3,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
air,1.2,357,0.748331477,"[1, 2, 0, 1, 2, 2, 2, 0, 1, 1]"
besides,0.9,355,0.538516481,"[1, 1, 0, 1, 1, 2, 1, 0, 1, 1]"
extremely,-2.5,349,0.5,"[-2, -2, -2, -3, -2, -2, -3, -3, -3, -3]"
regardless,0.2,348,0.6,"[1, 0, 0, 1, 1, 0, 0, -1, 0, 0]"
explode,-1.6,348,0.663324958,"[-2, -1, -1, -2, -2, -2, -1, -3, -1, -1]"
traditional,1.3,347,0.781024968,"[1, 0, 3, 1, 1, 2, 2, 1, 1, 1]"
unlimited,1.3,344,0.781024968,"[2, 0, 2, 2, 1, 1, 2, 2, 0, 1]"
upgrade,2.2,339,0.6,"[2, 3, 2, 1, 2, 2, 2, 3, 2, 3]"
rally,3.6,336,0.489897949,"[3, 4, 4, 4, 4, 3, 4, 4, 3, 3]"
decrease,-1.7,335,0.640312424,"[-2, -1, -1, -1, -2, -1, -3, -2, -2, -2]"
scheme,-1.6,334,0.489897949,"[-1, -2, -2, -1, -2, -2, -2, -1, -1, -2]"
eligible,1.3,331,0.458257569,"[1, 2, 2, 1, 1, 2, 1, 1, 1, 1]"
pure,1.5,326,0.806225775,"[2, 0, 3, 1, 1, 2, 2, 2, 1, 1]"
valid,3,324,0.632455532,"[3, 3, 4, 3, 2, 3, 4, 3, 2, 3]"
